Surname;First name;Pl;Time;Cl.name;Classifier;Short;km;m;Course controls
LIN;Fiorella;3;0:31:22;SEMIPERDO ORIENTEERING MANIAGO;0;C;;;
LAKOVIC;Paolo;4;0:32:21;TRIATHLON GORIZIA;0;C;;;
VALENTE;Gian Piero;5;0:52:23;CAI XXX OTTOBRE;0;C;;;
VALENTE;Sebastiano;6;0:58:45;CAI XXX OTTOBRE;0;C;;;
SLEJKO;Nik;7;1:00:11;PD AJDOVSCINA;0;C;;;
SEVER;Matic;8;1:04:05;PD AJDOVSCINA;0;C;;;
RIJAVEC;Jure;9;1:15:58;PD AJDOVSCINA;0;C;;;
DONINI;Adriana;10;1:16:07;SSD Gaja;0;C;;;
POLDRUGO;Pierpaolo;11;1:24:13;CAI XXX OTTOBRE;0;C;;;
HAREJ;DASA;12;1:51:30;PD AJDOVSCINA;0;C;;;
KETE;Jana;13;2:09:31;PD AJDOVSCINA;0;C;;;
BERTOCCHI;Alessandro;;mp;CAI XXX OTTOBRE;0;C;;;
SPINELLI;Paola;;mp;SSD Gaja;0;C;;;
PASQUOTTO;Giancarlo;;mp;CAI XXX OTTOBRE;0;C;;;
VIVIANI;Francesco;;mp;CAI XXX OTTOBRE;0;C;;;
