Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;Sum;Average
Ravnikar;Monika;OK Komenda;B;0:45:40;8;59;;337;;226;387;;227;59;1236;247
Rejec;Pavel;OK Azimut;B;;;;;324;;253;242;242;;;1061;265
Čerin;Boštjan;ind.;B;;;;;217;245;333;;;205;;1000;250
Petrovic;Gašper;OK Polaris;B;;;;;221;;259;340;;129;;949;237
Rejec;Marjana;OK Azimut;B;;;;160;152;;145;189;174;;;820;164
Čerin;Aleš;ind.;B;;;;;141;214;142;162;;146;;805;161
Pogačar;Aljoša;OK Komenda;B;0:36:47;7;75;;-;315;;198;;156;75;744;186
Škarabot;Matej;OK Polaris;B;0:08:30;1;324;;393;;;;;;324;717;358
Črnigoj;Nina;PD Ajdovščina;B;;;;261;;176;;;268;;;705;235
Radovan;Ema;OK Polaris;B;;;;186;349;169;;;;;;704;235
Pahor;Nejc;PD Ajdovščina;B;;;;191;309;172;;;;;;672;224
Flasker;Ajda;OK Komenda;B;;;;;;345;;;;309;;654;327
Lapajne;Janko;OK Azimut;B;;;;;304;;;298;;;;602;301
Lipužič;Marjeta;OK Komenda;B;;;;;;;214;361;;;;575;288
Vukajlovič;Vladan;DGN SP;B;;;;;279;;;279;;;;558;279
Boncina;Igor;OK Azimut;B;;;;;;280;269;;;;;549;274
Koprivc;Matjaz;OK Azimut;B;;;;;;240;;303;;;;543;272
Anderluh;Marija;OK Polaris;B;0:27:49;4;107;;240;;;;;177;107;524;175
Zupan;Polona;OK Polaris;B;;;;215;299;;;;;;;514;257
Zajc;Maja;OK Azimut;B;;;;267;;;;;233;;;500;250
Šalamun;Jan;OK Polaris;B;0:20:40;3;141;;;;;;;348;141;489;244
Foški;Brina;OK Polaris;B;;;;;;;-;303;;173;;476;238
Šiler;Petra;ind.;B;;;;;285;;;181;;;;466;233
Zupan;Peter;OK Polaris;B;;;;239;206;;;;;;;445;222
Petkovšek;Gal;OK Azimut;B;;;;;;;;209;203;;;412;206
Rijavec;Jure;PD Ajdovščina;B;;;;96;;165;;;146;;;407;136
Kotar;Dušan;ind.;B;;;;;232;;;173;;;;405;202
