Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;Sum;Average
Kenda;Klemen;OK Azimut;B;;;;;;;;;318;;;318;318
Kacin;Vojko;OK Azimut;B;;;;;306;;;;;;;306;306
Žvanut;Tilen;PD Ajdovščina;B;;;;;;;;;;305;;305;305
Kern;Rok;OK Komenda;B;;;;302;;;;;;;;302;302
Bogataj;Natasa;OK Azimut;B;0:42:32;11;175;;121;;-;;;;175;296;148
Pogačar;Ana Pia;OK Komenda;B;;;;;;;;287;;;;287;287
Gregorič;Nik;PD Ajdovščina;B;;;;;;;;;;278;;278;278
Tušar;Teja;OK Azimut;B;;;;;;;-;;268;;;268;268
Šorli C K;Blaž;Planinsko društvo Tolmin;B;0:31:29;6;247;;;;;;;;247;247;247
Ongaro;Marco;US Primiero ASD;B;;;;;246;;;;;;;246;246
Malus;Franc;OK Komenda;B;;;;243;;;;;;;;243;243
Obid;Marko;OK Azimut;B;;;;;;;;;;242;;242;242
Obid;Maja;OK Azimut;B;;;;;;;;;;239;;239;239
Kern;Tina;OK Komenda;B;;;;236;;;;;;;;236;236
Bogataj;Tajda;OK Azimut;B;;;;-;;;233;;;;;233;233
Istenič;Maja;OK Azimut;B;;;;;231;;;;;;;231;231
Pia Pogačar;Ana;OK Komenda;B;;;;;227;;;;;;;227;227
Pust;Tomaž;OK Azimut;B;;;;;;;;;;221;;221;221
Ravnikar;Nika;OK Komenda;B;;;;217;;;;;;;;217;217
Pretnar;Tanja;Kamniški OK;B;;;;;216;;;;;;;216;216
Korelc;Andrej;OK Komenda;B;;;;;;;;216;;;;216;216
Rejec;Pavel;OK Azimut;B;0:36:13;8;212;;;;;;;;212;212;212
Zupan;Romana;OK Komenda;B;;;;;203;;;;;;;203;203
Vidič;Matej;OK Azimut;B;;;;-;198;;;;;;;198;198
Obid;Aljaž;OK Azimut;B;;;;194;;;;;;;;194;194
Rejec;Marjana;OK Azimut;B;0:39:25;10;191;;;;;;;;191;191;191
Razpet;Deja;OK Azimut;B;;;;190;;;;;;;;190;190
Babič;Silvo;OK Komenda;B;;;;-;;;;188;;;;188;188
Poljanšek;Marjanca;OK Azimut;B;;;;;;;184;;;;;184;184
Zibelnik;Klemen;smuckacom;B;;;;184;;;;;;;;184;184
Raiger;Chiara;ind.;B;0:44:08;12;166;;;;;;;;166;166;166
Zavrl;Janez;OK Komenda;B;;;;;;;;165;;;;165;165
Malus;Vita;OK Komenda;B;;;;156;;;;;;;;156;156
Kavčič;Lucija;OK Komenda;B;;;;156;;;;;;;;156;156
