Surname;First name;Cl.name;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;ZL9;ZL10;ZL11;ZL12;ZL13;ZL14;ZL15;ZL16;Sum;Average
Grabar;Cristina;US Primiero ;A;;;;;;;;;;;461;;713;;;;647;;;1821;607
Čelik;Matija;OK Azimut;A;;;;;797;;;;984;;;;;;;;;;;1781;890
Cukjati;Tobija;OK Polaris;A;;;;;;;;816;;;;963;;;-;;;;;1779;890
De Luisa;Andraž;SSD Gaja;A;;;;;;;;;;64;426;;748;;;;541;;;1779;445
Krivičić;Dragan;OK Prekmandeljc;A;mp;;;;-831;607;28;-;-532;538;8;;548;;;;-89;;-;1729;346
Margiore;Andrea;Orienteering Trieste;A;;;;;;;;;;;909;;;;;;803;;;1712;856
De Luisa;Marko;SSD Gaja;A;1:03:19;34;577;;;;;;;;435;;417;;;;279;;577;1708;427
Kodrič;Nejc;PD Ajdovščina;A;;;;;;947;754;;;;;;;;;;;;;1701;850
Česnik;Martin;RKV Postojna;A;;;;;;;789;904;;;;;;;;;;-;;1693;846
Ruini;Cristina;CAI XXX Ottobre;A;;;;;;;;;;;544;;640;;;;502;;;1686;562
Sedej;Vlado;OK Azimut;A;1:05:45;38;537;;;;;;;;;;544;;;;;514;537;1595;532
Leoni;Gianluca;SSD Gaja;A;;;;558;;;;;;;306;;;;;;685;;;1549;516
Štalekar;Maja;ind.;A;;;;;;;;590;441;497;;;;;;;;;;1528;509
Corredig;Antonino;Semiperdo Maniago;A;;;;;;;;;;;338;;593;;;;481;;;1412;471
Viviani;Paolo Daniele;CAI XXX Ottobre;A;;;;;;;;;;;660;;730;;;;;;;1390;695
Hechich;Marirosa;Semiperdo Maniago;A;;;;;;;;;;;672;;;;;;716;;;1388;694
Drevenšek;Suzana;;A;0:57:33;31;671;;;;-;;;;;;;;-;;;708;671;1379;690
Gramaccia;Danilo;Semiperdo Maniago;A;;;;;;;;;;;711;;615;;;;;;;1326;663
Dorigo;Marco;CAI XXX Ottobre;A;;;;;;;;;;;669;;638;;;;;;;1307;654
Pacasso;Alessandro;Semiperdo Maniago;A;;;;;;;;;;;171;;643;;;;476;;;1290;430
Hribar;Andraž;OK Brežice;A;;;;;;;;;;1262;;;;;;;;;;1262;1262
Cignini;Enrico;CAI XXX Ottobre;A;;;;;;;;;;;;;572;;;;678;;;1250;625
Radovan;Dalibor;OK Polaris;A;;;;;;;644;563;;;;;;;;;;;;1207;604
Seppi;Marco;CUS Bologna;A;;;;;;;;;;;1205;;;;;;;;;1205;1205
Pestotnik;Rok;Pustolovec Rajd;A;;;;405;;;;;;;;;;;798;;;;;1203;602
Lapajne;Janko;OK Azimut;A;1:04:18;36;560;;-536;;;;;;;;598;;;;;;560;1158;579
Barbone;Giacomo;CAI XXX Ottobre;A;;;;;;;;;;;1068;;;;;;;;;1068;1068
Bogovič;Vid;OK Brežice;A;;;;1027;;;;;;;;;;;;;;;;1027;1027
Radovanovic;Slobodan;Magicmap;A;;;;;;;;;;;;;;;;;1009;;;1009;1009
Guizzardi;Michela;CUS Bologna;A;;;;;;;;;;;1000;;;;;;;;;1000;1000
Močnik;Rok;OK Azimut;A;;;;;;;;;994;;;;;;;;;;;994;994
Jokolar;Zdenek;Noclub;A;;;;;;;;;;;;;;;;;987;;;987;987
Dovč;Jan;OK Tivoli;A;;;;;;;;;;954;;;;;;;;;;954;954
Rozzi;Alessio;SSD Gaja;A;0:54:56;30;714;;;;;;;;-19;;;;;;194;;714;908;454
Škarabot;Miha;OK Polaris;A;;;;;;;;;;;;;;;;;;898;;898;898
Mosca;Massimo;CAI XXX Ottobre;A;;;;;;;;;;;884;;;;;;;;;884;884
Oetnik;Siegfried;HSV Bleiburg;A;;;;;;;;;;878;;;;;;;;;;878;878
Bohinc;Boštjan;;A;;;;;;;;;;;;;;;877;;;;;877;877
Bettin;Renato;Swallows;A;;;;;;;;;;;869;;;;;;;;;869;869
Petrovič;Uroš;OK Polaris;A;;;;861;;;;;;;;;;;;;;;;861;861
Pretnar;Tanja;OK Azimut;A;;;;859;;;;;;;;;;;;;;;;859;859
